method,scenario,seed,contexts,iters,batch,acc_n,memory_per_class,final_accuracy,runtime_seconds,output_dim,command,source_dir,accuracy_percent
None,class,0,5,2000,128,1024,100,0.1964,320.04428696632385,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method none --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_none_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,19.64
EWC,class,0,5,2000,128,1024,100,0.1968,351.04810857772827,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method ewc --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_ewc_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,19.68
LwF,class,0,5,2000,128,1024,100,0.2676,322.20668387413025,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method lwf --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_lwf_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,26.76
A-GEM,class,0,5,2000,128,1024,100,0.5556,360.4936130046845,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method agem --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_agem_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,55.56
Generative Classifier,class,0,5,2000,128,1024,100,0.7266,17.899744987487793,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method gen-classifier --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_gen_classifier_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,72.66
Joint,class,0,5,2000,128,1024,100,0.9808,311.24757528305054,10,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method joint --scenario class --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000 --run-id class_joint_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_class_2000,98.08
None,domain,0,5,2000,128,1024,100,0.5672,313.47652435302734,2,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method none --scenario domain --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000 --run-id domain_none_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000,56.720000000000006
EWC,domain,0,5,2000,128,1024,100,0.578,352.3298010826111,2,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method ewc --scenario domain --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000 --run-id domain_ewc_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000,57.8
LwF,domain,0,5,2000,128,1024,100,0.7753,323.4244065284729,2,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method lwf --scenario domain --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000 --run-id domain_lwf_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000,77.53
A-GEM,domain,0,5,2000,128,1024,100,0.9001,357.9299085140228,2,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\code\from_scratch\splitmnist_cl.py --method agem --scenario domain --contexts 5 --iters 2000 --batch 128 --acc-n 1024 --eval-every 100 --memory-per-class 100 --seed 0 --data-dir E:\Codex\continual-learning-setup\data --results-dir E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000 --run-id domain_agem_seed0,E:\Codex\continual-learning-setup\splitmnist-continual-learning-report\results_from_scratch\classic_no_lsr_2000\splitmnist_domain_2000,90.01
